age,budget_per_person_daily,city_you_resided_in,travel_group_composition,types_of_attractions,places_visited_in_the_uae,season
26,188,Umm Al Qaiwain,7,Landmark,Saadiyat Island,Summer
2,169,Fujairah,4,Outdoor,Hatta Heritage Village,Winter
62,127,Abu Dhabi,9,Kids,Miracle Garden,Winter
85,115,Ras Al Khaimah,7,Outdoor,Al Marmoom Desert Conservation Reserve,Winter
82,72,Ras Al Khaimah,4,Landmark,Jumeirah Beach Residence,Summer
43,1559,Fujairah,7,Landmark,Atlantis The Palm,Summer
62,177,Dubai,2,Landmark,Louvre Abu Dhabi,Summer
29,1247,Umm Al Qaiwain,5,Historical,Emirates Palace,Summer
35,112,Abu Dhabi,2,Outdoor,Hatta Heritage Village,Winter
91,28,Fujairah,1,Kids,Ras Al Khor Wildlife Sanctuary,Summer
66,33,Ras Al Khaimah,5,Outdoor,Ras Al Khor Wildlife Sanctuary,Summer
23,561,Abu Dhabi,1,Landmark,Louvre Abu Dhabi,Summer
61,2983,Ras Al Khaimah,2,Shopping,Dubai Mall,Winter
33,307,Dubai,10,Kids,Ski Dubai,Winter
40,31,Abu Dhabi,8,Outdoor,Ras Al Khor Wildlife Sanctuary,Winter
7,246,Dubai,10,Landmark,Madinat Jumeirah,Winter
85,240,Umm Al Qaiwain,5,Outdoor,Jumeirah Beach Residence,Summer
85,126,Abu Dhabi,6,Landmark,Burj Khalifa,Winter
42,149,Abu Dhabi,5,Historical,Al Jazirah Al Hamra,Winter
39,56,Ras Al Khaimah,10,Historical,Jumeirah Mosque,Summer
23,16,Sharjah,6,Outdoor,Ras Al Khor Wildlife Sanctuary,Winter
53,443,Ras Al Khaimah,5,Historical,Emirates Palace,Winter
13,557,Abu Dhabi,8,Kids,Ferrari World,Summer
6,200,Ras Al Khaimah,9,Kids,Global Village,Summer
30,86,Dubai,7,Landmark,Jumeirah Mosque,Winter
79,142,Umm Al Qaiwain,10,Landmark,Louvre Abu Dhabi,Winter
44,102,Umm Al Qaiwain,1,Kids,Sharjah Aquarium,Winter
83,149,Fujairah,2,Shopping,Madinat Jumeirah,Winter
15,220,Umm Al Qaiwain,5,Kids,Al Ain Zoo,Summer
14,158,Umm Al Qaiwain,4,Kids,Bounce Dubai,Winter
31,49,Umm Al Qaiwain,4,Outdoor,Al Qudra Lakes,Summer
71,141,Dubai,9,Kids,Butterfly Garden,Summer
34,128,Ajman,4,Outdoor,Dubai Fountain,Winter
28,448,Ajman,10,Kids,IMG Worlds of Adventure,Summer
50,79,Ajman,4,Kids,Sharjah Aquarium,Summer
27,3929,Sharjah,5,Shopping,Yas Mall,Summer
47,115,Sharjah,5,Historical,Ajman Museum,Summer
45,158,Abu Dhabi,5,Landmark,Dubai Frame,Summer
61,56,Ajman,9,Historical,Dubai Creek,Summer
44,228,Sharjah,5,Historical,Al Bidya Mosque,Summer
20,2225,Ras Al Khaimah,8,Shopping,Yas Mall,Summer
39,102,Umm Al Qaiwain,7,Historical,Ajman Museum,Winter
39,126,Umm Al Qaiwain,5,Landmark,Jumeirah Beach Residence,Winter
55,105,Ras Al Khaimah,7,Historical,Sharjah Museum of Islamic Civilization,Summer
32,65,Umm Al Qaiwain,9,Historical,Fujairah Fort,Summer
26,214,Abu Dhabi,10,Landmark,Dubai Museum at Al Fahidi Fort,Winter
41,1875,Sharjah,5,Landmark,Burj Al Arab,Winter
47,104,Ras Al Khaimah,2,Landmark,Hatta Dam,Winter
10,116,Abu Dhabi,6,Outdoor,Ajman Beach,Summer
74,204,Ajman,8,Historical,Sharjah Art Museum,Winter
80,37,Umm Al Qaiwain,10,Historical,Sharjah Art Museum,Summer
11,122,Sharjah,6,Landmark,Dubai Frame,Winter
12,1268,Umm Al Qaiwain,4,Shopping,Mall of the Emirates,Summer
51,119,Sharjah,8,Landmark,Saadiyat Island,Summer
14,2860,Ajman,7,Shopping,Global Village,Winter
51,199,Ajman,4,Landmark,Louvre Abu Dhabi,Winter
67,141,Ras Al Khaimah,4,Outdoor,Miracle Garden,Summer
49,91,Abu Dhabi,7,Historical,Hatta Heritage Village,Summer
74,116,Ras Al Khaimah,10,Kids,Butterfly Garden,Winter
11,128,Abu Dhabi,8,Outdoor,Wadi Shawka,Winter
67,66,Sharjah,4,Outdoor,Al Qudra Lakes,Winter
16,59,Fujairah,9,Kids,Childrens City,Winter
47,135,Umm Al Qaiwain,9,Landmark,Louvre Abu Dhabi,Winter
47,70,Fujairah,1,Landmark,Fujairah Fort,Summer
16,165,Fujairah,3,Kids,Al Ain Zoo,Winter
3,298,Fujairah,10,Kids,OliOli,Winter
57,72,Sharjah,7,Historical,Sharjah Museum of Islamic Civilization,Winter
46,392,Fujairah,8,Kids,Ferrari World,Summer
68,231,Dubai,2,Historical,Dubai Museum at Al Fahidi Fort,Summer
68,64,Ras Al Khaimah,8,Outdoor,Al Qudra Lakes,Winter
27,413,Ras Al Khaimah,3,Kids,IMG Worlds of Adventure,Winter
6,191,Umm Al Qaiwain,5,Kids,OliOli,Winter
10,199,Ajman,10,Kids,Atlantis The Palm,Winter
15,520,Umm Al Qaiwain,7,Kids,Yas Waterworld,Winter
