Place,Latitude,Longitude
Dubai Fountain,25.197197,55.279709
Saadiyat Island,24.543001,54.435779
Miracle Garden,25.05657,55.247558
Jebel Jais,25.953345,56.183682
Ajman Beach,25.405216,55.452775
Qasr Al Hosn,24.482391,54.355671
Sharjah Museum of Islamic Civilization,25.357058,55.388444
Umm Al Quwain Fort and Museum,25.587899,55.563953
The Dubai Opera,25.194826,55.278008
Al Jazirah Al Hamra,25.673524,55.77249
Fujairah Fort,25.138794,56.337716
Al Noor Mosque,25.343255,55.378248
Burj Khalifa,25.197525,55.274288
Louvre Abu Dhabi,24.533441,54.39648
Sheikh Zayed Grand Mosque,24.412446,54.474912
Atlantis The Palm,25.130503,55.117162
Dubai Frame,25.234314,55.300859
Ski Dubai,25.118296,55.200117
Yas Waterworld,24.488634,54.605351
Sharjah Aquarium,25.325019,55.373634
Ferrari World,24.484847,54.608153
Dreamland Aqua Park,25.606835,55.682474
Dubai Mall,25.197197,55.279709
Global Village,25.06771,55.306132
Al Ain Oasis,24.21109,55.760652
Hatta Dam,24.796446,56.117157
Jumeirah Mosque,25.233221,55.264367
The Green Planet,25.20869,55.271835
Al Bidya Mosque,25.439737,56.35127
Qasr Al Watan,24.463404,54.321817
Warner Bros World,24.496016,54.603255
Ras Al Khor Wildlife Sanctuary,25.180828,55.33452
Sir Bani Yas Island,24.32268,52.59798
Dubai Creek,25.276987,55.324034
Dubai Museum at Al Fahidi Fort,25.263165,55.297539
Al Ain Zoo,24.206467,55.744409
Jumeirah Beach Residence,25.080785,55.139457
Sharjah Art Museum,25.357556,55.38467
Wadi Adventure,24.12134,55.728542
Emirates Palace,24.466667,54.316666
Liwa Oasis,23.15,53.78
Madinat Jumeirah,25.138084,55.192144
Al Qudra Lakes,24.873681,55.369229
Al Marmoom Desert Conservation Reserve,24.820038,55.409321
Jebel Hafeet,24.058288,55.777655
Ajman Museum,25.408647,55.446812
Hatta Heritage Village,24.796539,56.109377
Wadi Shawka,25.084446,56.043729
Burj Al Arab,25.141361,55.185295
Yas Mall,24.495294,54.604298
Gold Souk,25.268352,55.301808
Mall of the Emirates,25.118896,55.200517
Legoland Dubai,24.923507,55.010671
Kidzania,25.198542,55.279143
IMG Worlds of Adventure,24.892558,55.448498
OliOli,25.132941,55.247349
Bounce Dubai,25.1007,55.165524
Butterfly Garden,25.056528,55.246913
Childrens City,25.235799,55.335789
